59482.47
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00    10.61      0.00        1     0.00     0.00  Array#index
  0.00    10.61      0.00        1     0.00     0.00  Gem.load_path_insert_index
  0.00    10.61      0.00        1     0.00     0.00  Array#insert
  0.00    10.61      0.00        1     0.00     0.00  Gem.activate
  0.00    10.61      0.00        1     0.00  1600.00  Gem.try_activate
  0.00    10.61      0.00        2     0.00     0.00  BasicObject#!=
  0.00    10.61      0.00        1     0.00     0.00  Comparable.<=
  0.00    10.61      0.00        1     0.00     0.00  Nokogiri.is_2_6_16?
  0.00    10.61      0.00       16     0.00     0.00  Fixnum#<<
  0.00    10.61      0.00        3     0.00     0.00  Fixnum#|
  0.00    10.61      0.00        2     0.00     0.00  Module#constants
  0.00    10.61      0.00       19     0.00     0.00  Symbol#to_sym
  0.00    10.61      0.00       50     0.00     0.00  Symbol#downcase
  0.00    10.61      0.00       32     0.00     0.00  Module#class_eval
  0.00    10.61      0.00       29     0.00     0.00  Module#method_undefined
  0.00    10.61      0.00       23     0.00     0.00  Module#undef_method
  0.00    10.61      0.00        2     0.00     0.00  BasicObject#initialize
  0.00    10.61      0.00        1     0.00     0.00  Mutex#initialize
  0.00    10.61      0.00        2     0.00     0.00  File#initialize
  0.00    10.61      0.00        1     0.00     0.00  Kernel.open
  0.00    10.61      0.00        1     0.00     0.00  Nokogiri::XML::ParseOptions#initialize
  0.00    10.61      0.00        1     0.00     0.00  File#path
  0.00    10.61      0.00        1     0.00     0.00  Nokogiri::XML::Document#initialize
  0.00    10.61      0.00        1     0.00     0.00  Nokogiri::XML::Document#read_io
  0.00    10.61      0.00        1     0.00     0.00  Nokogiri::XML::Document#parse
  0.00    10.61      0.00        1     0.00     0.00  Nokogiri.XML
  0.00    10.61      0.00        2     0.00     0.00  Hash#initialize
  0.00    10.61      0.00        3     0.00     0.00  Kernel.hash
  0.00    10.61      0.00        2     0.00     0.00  Nokogiri::XML::Document#decorators
  0.00    10.61      0.00        4     0.00     0.00  Nokogiri::XML::Document#document
  0.00    10.61      0.00       46     0.00     0.00  Nokogiri::XML::Document#decorate
  0.00    10.61      0.00        1     0.00     0.00  Nokogiri::XML::Node#decorate!
  0.00    10.61      0.00        1     0.00     0.00  Nokogiri::XML::Document#slop!
  0.00    10.61      0.00        1     0.00     0.00  Nokogiri::XML::Document#implied_xpath_context
  0.00    10.61      0.00       22     0.00     0.00  String#sub
  0.00    10.61      0.00       20     0.00     0.00  Module#==
  0.00    10.61      0.00       20     0.00     0.00  Array#reverse
  0.00    10.61      0.00       40     0.00     0.00  Nokogiri::XML::Document#root
  0.00    10.61      0.00       20     0.00     0.00  Nokogiri::XML::Node#namespace_scopes
  0.00    10.61      0.00       75     0.00     0.00  Fixnum#to_s
  0.00    10.61      0.00       20     0.00     0.50  Nokogiri::XML::Node#extract_params
  0.00    10.61      0.00       20     0.00     0.00  Nokogiri::XML::XPathContext#new
  0.00    10.61      0.00       20     0.00     0.00  Nokogiri::XML::XPathContext#register_namespaces
  0.00    10.61      0.00       20     0.00     0.00  Nokogiri::XML::XPathContext#evaluate
  0.00    10.61      0.00       20     0.00     0.50  Nokogiri::XML::Node#xpath
  0.00    10.61      0.00       41     0.00     0.00  Nokogiri::XML::NodeSet#length
  0.00    10.61      0.00       20     0.00     0.00  Nokogiri::XML::NodeSet#empty?
  0.00    10.61      0.00       25     0.00     0.00  Nokogiri::XML::NodeSet#[]
  0.00    10.61      0.00        1     0.00     0.00  Numeric#integer?
  0.00    10.61      0.00     1020     0.00     0.00  Fixnum#**
  0.00    10.61      0.00       19     0.00     0.00  Nokogiri::XML::Node#implied_xpath_context
  0.00    10.61      0.00       57     0.00     0.00  Nokogiri::XML::Node#document
  0.00    10.61      0.00       18     0.00     0.00  Nokogiri::XML::Node#text
  0.00    10.61      0.00     1022     0.00     0.00  String#to_sym
  0.00    10.61      0.00     1016     0.00     0.00  Regexp#match
  0.00    10.61      0.00       22     0.00     0.00  Integer#integer?
  0.00    10.61      0.00        1     0.00     0.00  Float#-@
  0.00    10.61      0.00        4     0.00     0.00  Module#protected
  0.00    10.61      0.00      208     0.00     0.00  Kernel.nil?
  0.00    10.61      0.00        6     0.00     0.00  Hash#merge!
  0.00    10.61      0.00        1     0.00    20.00  Integer#upto
  0.00    10.61      0.00        1     0.00    20.00  Nokogiri::XML::NodeSet#each
  0.00    10.61      0.00        1     0.00    20.00  Enumerable.each_with_object
  0.00    10.61      0.00        4     0.00     0.00  Array#|
  0.00    10.61      0.00        2     0.00   655.00  Enumerable.inject
  0.00    10.61      0.00        1     0.00     0.00  IO#open
  0.00    10.61      0.00        1     0.00     0.00  Hash#initialize_copy
  0.00    10.61      0.00        1     0.00     0.00  Hash#merge
  0.00    10.61      0.00        1     0.00     0.00  IO#internal_encoding
  0.00    10.61      0.00        1     0.00     0.00  IO#external_encoding
  0.00    10.61      0.00        1     0.00     0.00  CSV#raw_encoding
  0.00    10.61      0.00       24     0.00     0.00  String#encode
  0.00    10.61      0.00        1     0.00     0.00  Kernel.proc
  0.00    10.61      0.00        1     0.00     0.00  String#length
  0.00    10.61      0.00        1     0.00     0.00  IO#pos
  0.00    10.61      0.00       16     0.00     0.00  NilClass#nil?
  0.00    10.61      0.00      504     0.00     0.02  Array#==
  0.00    10.61      0.00        8     0.00     0.00  CSV#encode_str
  0.00    10.61      0.00        5     0.00     0.00  Regexp#initialize
  0.00    10.61      0.00        5     0.00     0.00  CSV#encode_re
  0.00    10.61      0.00        1     0.00     0.00  IO#rewind
  0.00    10.61      0.00        1     0.00     0.00  CSV#init_separators
  0.00    10.61      0.00        2     0.00     0.00  CSV#escape_re
  0.00    10.61      0.00        1     0.00     0.00  CSV#init_parsers
  0.00    10.61      0.00        2     0.00     0.00  Array#+
  0.00    10.61      0.00        2     0.00     0.00  Kernel.method
  0.00    10.61      0.00        2     0.00     0.00  CSV#init_converters
  0.00    10.61      0.00        1     0.00     0.00  CSV#init_headers
  0.00    10.61      0.00        1     0.00     0.00  CSV#initialize
  0.00    10.61      0.00       17     0.00     0.59  Module#include
  0.00    10.61      0.00       17     0.00     0.00  Module#included
  0.00    10.61      0.00       31     0.00     0.00  Kernel.extend
  0.00    10.61      0.00       31     0.00     0.00  Module#extended
  0.00    10.61      0.00       31     0.00     0.00  Module#extend_object
  0.00    10.61      0.00        2     0.00     0.00  Module#initialize
  0.00    10.61      0.00        1     0.00  7490.00  Enumerable.to_a
  0.00    10.61      0.00        2     0.00  7490.00  CSV#read
  0.00    10.61      0.00        1     0.00     0.00  IO#close
  0.00    10.61      0.00        1     0.00     0.00  CSV#close
  0.00    10.61      0.00        1     0.00  7490.00  CSV#open
  0.00    10.61      0.00       29     0.00     0.00  Module#private_class_method
  0.00    10.61      0.00     1010     0.00     0.00  Rational#coerce
  0.00    10.61      0.00       35     0.00     0.00  Module#alias_method
  0.00    10.61      0.00       65     0.00     0.00  Module#private
  0.00    10.61      0.00        5     0.00     0.00  Struct#new
  0.00    10.61      0.00       49     0.00     0.00  Kernel.freeze
  0.00    10.61      0.00        2     0.00     0.00  Fixnum#-@
  0.00    10.61      0.00       85     0.00     0.00  Class#inherited
  0.00    10.61      0.00     1011     0.00     0.00  Float#==
  0.00    10.61      0.00       48     0.00     0.00  Module#attr_accessor
  0.00    10.61      0.00     1010     0.00     0.00  Float#<=>
  0.00    10.61      0.00      232     0.00     0.00  BasicObject#singleton_method_added
  0.00    10.61      0.00       83     0.00     0.00  Hash#empty?
  0.00    10.61      0.00     1011     0.00     0.00  Fixnum#/
  0.00    10.61      0.00       82     0.00     0.00  Gem.unresolved_deps
  0.00    10.61      0.00     1009     0.00     0.00  Float#+
  0.00    10.61      0.00        7     0.00     0.00  Array#-
  0.00    10.61      0.00        3     0.00     0.00  Hash#each_pair
  0.00    10.61      0.00        2     0.00     0.00  Object#find_it!
  0.00    10.61      0.00        1     0.00     0.00  Float#divmod
  0.00    10.61      0.00        1     0.00     0.00  Float#>
  0.00    10.61      0.00        1     0.00     0.00  Float#to_s
  0.00    10.61      0.00        1     0.00     0.00  Kernel.inspect
  0.00    10.61      0.00      148     0.00     0.00  IO#set_encoding
  0.00    10.61      0.00        1     0.00 10610.00  #toplevel
